State,School type,Grade,Which LLMs have you tried?,Which do you use use frequently?,How accessible are they for you?,What subjects have you used them for?,Which have you used LLMs for?,What have LLMs helped?,How often?,Does the version you use cost money?,"If paid, is it worth it?",AI ethics concern,Privacy concern,Strict school policies,Potential features and improvements,Has LLMs improved school work?
New Jersey,Public,8,"Google Gemini/Bard, Large Language Model Meta AI (Llama)","Google Gemini/Bard, Large Language Model Meta AI (Llama)",Always (i.e. you own a personal device),"History, English","Writing essays, emails, etc. Summarizing text Project ideas Creating study plans Translating languages","Writing essays, emails, etc. Summarizing text Coding questions       Translating languages        ",Daily,No,,3,5,5,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, More natural at conversing, Understanding emotions, Protecting privacy and security better, ,",
Oregon,Public,8,"ChatGPT, Microsoft Bing",ChatGPT,Always (i.e. you own a personal device),None,Project ideas,Project ideas,4-5 times per week,No,,3,4,1,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, More natural at conversing, Understanding emotions, Protecting privacy and security better, ,",
Arizona,Public,8,"ChatGPT, Google Gemini/Bard, Microsoft Bing",None,Rarely,"History, English","Writing essays, emails, etc. Project ideas Creating study plans Translating languages Summarizing text","Writing essays, emails, etc. Project ideas Creating study plans Translating languages Summarizing text",4-5 times per week,Yes,5,4,5,3,"Better at understanding complex questions, Work with pictures, sound, and videos, , Better explanations, , , Protecting privacy and security better, ,",
New York,Public,11,"ChatGPT, Large Language Model Meta AI (Llama)",None,Always (i.e. you own a personal device),English,"Writing essays, emails, etc. Summarizing text  Creating study plans","Writing essays, emails, etc. Summarizing text Creating study plans Project Ideas",Rarely,No,,4,5,5,", Work with pictures, sound, and videos, , Better explanations, More natural at conversing, Understanding emotions, , ,",
Kentucky,Public,12,ChatGPT,ChatGPT,Always (i.e. you own a personal device),"Math, English","Writing essays, emails, etc. Project ideas","Writing essays, emails, etc. Project ideas	",Rarely,No,,3,5,3,"Better at understanding complex questions, Work with pictures, sound, and videos, , Better explanations, , , , ,",
Colorado,Public,11,ChatGPT,ChatGPT,Always (i.e. you own a personal device),English,"Writing essays, emails, etc. Science or math homework help","Writing essays, emails, etc. Summarizing text	",Rarely,No,,2,4,3,", Work with pictures, sound, and videos, , , More natural at conversing, , Protecting privacy and security better, ,",
Pennsylvania,Public,11,ChatGPT,None,Always (i.e. you own a personal device),"History, English","Writing essays, emails, etc. Summarizing text Coding questions Creating study plans","Writing essays, emails, etc. Science or math homework help Project ideas Creating study plans",4-5 times per week,No,,4,5,4,"Better at understanding complex questions, , More correct answers, , More natural at conversing, Understanding emotions, Protecting privacy and security better, ,",
Alabama,Public,9,None,,Always (i.e. you own a personal device),,,,,,,1,3,5,"Better at understanding complex questions, , , Better explanations, , , , ,",
Minnesota,Public,8,None,,Always (i.e. you own a personal device),,,,,,,5,1,3,", , , , More natural at conversing, Understanding emotions, , ,",
Texas,Homeschooled,10,Google Gemini/Bard,None,Always (i.e. you own a personal device),None,None,None,Rarely,No,,5,4,1,", , , , , Understanding emotions, , ,",
Indiana,Public,7,None,,Rarely,,,,,,,2,3,2,"Better at understanding complex questions, , , Better explanations, , , , ,",
California,Public,8,ChatGPT,None,Weekly (i.e. accessible at public places like libraries),"Science, History","Writing essays, emails, etc.","Writing essays, emails, etc.",Daily,No,,1,5,1,", Work with pictures, sound, and videos, , , , , Protecting privacy and security better, ,",
Indiana,Public,7,Large Language Model Meta AI (Llama),None,Never,None,None,None,Rarely,No,,1,1,5,", , , , , , , None,",
Michigan,Public,11,"ChatGPT, Microsoft Bing",ChatGPT,Weekly (i.e. accessible at public places like libraries),"Math, Science, Computer Science, English","Writing essays, emails, etc. Summarizing text Coding questions Project ideas",Summarizing text Project ideas Translating languages,4-5 times per week,Yes,4,3,2,5,"Better at understanding complex questions, Work with pictures, sound, and videos, , Better explanations, , , , ,",
Florida,Public,9,"ChatGPT, Microsoft Bing","ChatGPT, Google Gemini/Bard, Microsoft Bing",Always (i.e. you own a personal device),"Math, English, Science","Writing essays, emails, etc. Science or math homework help Summarizing text        ","Writing essays, emails, etc. Science or math homework help Summarizing text Project ideas",Once a week,No,,3,4,5,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, More natural at conversing, Understanding emotions, Protecting privacy and security better, ,",
Maryland,Public,11,None,,Never,,,,,,,4,3,3,", , , , , , , None,",
Maryland,Public,9,"ChatGPT, Pi Ai","ChatGPT, Pi Ai",Rarely,English,"Writing essays, emails, etc. Summarizing text Project ideas","Writing essays, emails, etc. Summarizing text Project ideas",Rarely,No,,3,3,4,"Better at understanding complex questions, Work with pictures, sound, and videos, , Better explanations, More natural at conversing, Understanding emotions, Protecting privacy and security better, ,",
North Carolina,Public,11,ChatGPT,ChatGPT,Always (i.e. you own a personal device),"English, Art appreciation","Writing essays, emails, etc. Summarizing text Project ideas","Writing essays, emails, etc. Summarizing text Project ideas",Rarely,No,,3,3,4,"Better at understanding complex questions, Work with pictures, sound, and videos, , Better explanations, More natural at conversing, Understanding emotions, Protecting privacy and security better, ,",
California,Charter,12,Microsoft Bing,None,Always (i.e. you own a personal device),English,"Writing essays, emails, etc.","Writing essays, emails, etc.",Rarely,No,,2,3,4,"Better at understanding complex questions, , More correct answers, Better explanations, More natural at conversing, , Protecting privacy and security better, ,",
Texas,Public,8,None,,Always (i.e. you own a personal device),,,,,,,1,5,4,", Work with pictures, sound, and videos, , Better explanations, More natural at conversing, , Protecting privacy and security better, ,",
Mississippi,Public,8,ChatGPT,ChatGPT,Rarely,"Math, Science, Computer Science, History, English",Science or math homework help Summarizing text Coding questions Project ideas Creating study plans,Science or math homework help Summarizing text Coding questions ,Rarely,No,,3,4,5,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, More natural at conversing, Understanding emotions, Protecting privacy and security better, ,",
Idaho,Public,12,Google Gemini/Bard,Google Gemini/Bard,Daily (i.e. accessible only at school),History,Translating languages,Translating languages,4-5 times per week,No,,3,3,3,", Work with pictures, sound, and videos, , , , , Protecting privacy and security better, ,",
Florida,Public,7,Google Gemini/Bard,Google Gemini/Bard,Always (i.e. you own a personal device),"Math, Random Info",Summarizing text,None,Daily,No,,1,2,4,"Better at understanding complex questions, Work with pictures, sound, and videos, , , More natural at conversing, Understanding emotions, , ,",
Utah,Public,9,Google Gemini/Bard,Google Gemini/Bard,Daily (i.e. accessible only at school),"Math, Science, History, English","Writing essays, emails, etc. Science or math homework help Project ideas Translating languages","Writing essays, emails, etc. Science or math homework help Project ideas Translating languages",4-5 times per week,No,,2,4,2,"Better at understanding complex questions, Work with pictures, sound, and videos, , Better explanations, , , , ,",
Minnesota,Public,11,ChatGPT,ChatGPT,Always (i.e. you own a personal device),"Science, English","Writing essays, emails, etc. Summarizing text Creating study plans","Writing essays, emails, etc. Science or math homework help Project ideas",Once a week,No,,2,3,4,", Work with pictures, sound, and videos, , , , , Protecting privacy and security better, ,",
Illinois,Public,8,Douli,None,Always (i.e. you own a personal device),Other Language,"Writing essays, emails, etc. Science or math homework help Summarizing text  Project ideas Translating languages ","Writing essays, emails, etc. Science or math homework help Project ideas Translating languages",Once a week,No,,3,3,3,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, More natural at conversing, Understanding emotions, Protecting privacy and security better, ,",
Minnesota,Public,11,ChatGPT,ChatGPT,Always (i.e. you own a personal device),"History, English","Writing essays, emails, etc. Summarizing text Creating study plans","Writing essays, emails, etc. Science or math homework help Project ideas Creating study plans",Once a week,No,,3,1,5,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, , , , , ,",
Pennsylvania,Charter,10,None,,Always (i.e. you own a personal device),,,,,,,3,5,4,"Better at understanding complex questions, , , Better explanations, , , Protecting privacy and security better, ,",
New York,Private,10,ChatGPT,ChatGPT,Always (i.e. you own a personal device),"History, English",Project ideas Creating study plans ,Summarizing text Creating study plans	,Once a week,No,,3,4,2,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, , , Protecting privacy and security better, ,",
Kansas,Homeschooled,12,ChatGPT,None,Rarely,None,Translating languages,Translating languages,Rarely,No,,1,3,3,"Better at understanding complex questions, , , , More natural at conversing, , , ,",
New Jersey,Public,11,ChatGPT,ChatGPT,Daily (i.e. accessible only at school),"Science, History, English","Writing essays, emails, etc. Science or math homework help Project ideas",Science or math homework help Project ideas        Summarizing text,4-5 times per week,No,,3,5,2,"Better at understanding complex questions, Work with pictures, sound, and videos, , , More natural at conversing, , , ,",
California,Private,9,None,None,Always (i.e. you own a personal de),None,None,None,Never,No,,3,4,4,Protecting privacy and security better,
California,Public,10,"ChatGPT, Google Gemini/Bard, Microsoft Bing",ChatGPT,Always (i.e. you own a personal de),"Math, Science, Computer Science, History, English","Writing essays, emails, etc., Science or math homework help, Summarizing text, Coding questions, Project ideas, Creating study plans, Translating languages","Science or math homework help, Translating languages",4-5 times per week,Yes,4,3,3,3,"Better at understanding complex questions, Work with pictures, sound, and videos, More natural at conversing, Better at making visual creativity while also using correct characters, it doesn’t seem to quite get the hang of having the right characters you implement",
California,Public,9,ChatGPT,None,Always (i.e. you own a personal de),Computer Science,Coding questions,Coding questions,Rarely,No,,1,2,4,Better explanations,
California,Private,8,ChatGPT,None,Always (i.e. you own a personal de),"History, English","Writing essays, emails, etc., Summarizing text, Project ideas, Creating study plans, Translating languages","Project ideas, Creating study plans, Translating languages",Rarely,No,,3,3,4,"More correct answers, Better explanations, More natural at conversing, Understanding emotions",
